Contrato,Empresa,Ciclo,Solicitação,Emissão,Confirmação,Previsão,Valor Faturado,Valor líquido,Impostos,Status
Contrato Locação Polo Play,Ybox,Sep-25,10/1/25,10/1/25,10/3/25,10/21/25,"R$ 7,389.64","R$ 6,897.71",R$ 491.93,Pago
Contrato Locação Posto Door,Ybox,Sep-25,10/1/25,10/1/25,10/3/25,10/16/25,"R$ 14,955.73","R$ 13,961.26",R$ 994.47,Pago
Locação Casa 03 (Marcos),D.Z.M,Sep-25,10/1/25,10/1/25,10/1/25,10/20/25,"R$ 1,000.00",R$ 890.00,R$ 110.00,Pendente
Locação Casa 06 (Saniele),D.Z.M,Sep-25,10/1/25,10/1/25,10/1/25,11/3/25,R$ 858.57,R$ 768.57,R$ 90.00,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Aug-25,9/1/25,9/5/25,9/8/25,10/2/25,"R$ 31,583.33","R$ 26,162.47","R$ 5,420.86",Pago
Contrato CSP 274/24 - CMSP,Mar Brasil,Aug-25,9/22/25,9/22/25,9/24/25,10/16/25,"R$ 50,206.66","R$ 42,091.42","R$ 8,115.24",Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Aug-25,9/1/25,9/3/25,9/5/25,9/30/25,"R$ 460,899.42","R$ 381,792.14","R$ 79,107.28",Pago
Rede Alpha - AFONSO PENNA,Mar Brasil,Aug-25,9/1/25,9/4/25,9/10/25,9/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Aug-25,9/1/25,9/4/25,9/10/25,9/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Aug-25,9/1/25,9/4/25,9/10/25,9/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - COSTA 2,Mar Brasil,Aug-25,9/1/25,9/4/25,9/10/25,9/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Aug-25,9/1/25,9/4/25,9/10/25,9/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - POSTAL 500,Mar Brasil,Aug-25,9/1/25,9/4/25,9/10/25,9/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rossi Advocacia ,Mar Brasil,Aug-25,9/1/25,9/4/25,9/10/25,9/15/25,R$ 849.65,R$ 703.82,R$ 145.83,Pago
Contrato Locação Cellula Mater,Ybox,Aug-25,9/1/25,9/1/25,,9/30/25,"R$ 21,402.22","R$ 19,937.36","R$ 1,464.86",Pago
Contrato Locação Polo Play,Ybox,Aug-25,9/1/25,9/1/25,,9/20/25,"R$ 7,184.30","R$ 6,692.37",R$ 491.93,Pago
Contrato Locação Posto Door,Ybox,Aug-25,9/1/25,9/1/25,,9/15/25,"R$ 14,531.48","R$ 13,537.01",R$ 994.47,Pago
Locação Casa 03 (Marcos),D.Z.M,Aug-25,9/1/25,9/1/25,,9/20/25,R$ 987.80,R$ 877.80,R$ 110.00,Pendente
Locação Casa 06 (Saniele),D.Z.M,Aug-25,9/1/25,9/1/25,,9/20/25,R$ 858.57,R$ 768.57,R$ 90.00,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Jul-25,7/31/25,8/4/25,8/4/25,9/2/25,"R$ 31,583.33","R$ 26,152.02","R$ 5,431.31",Pago
Contrato CSP 274/24 - CMSP,Mar Brasil,Jul-25,8/1/25,8/26/25,8/30/25,9/11/25,"R$ 50,206.66","R$ 42,074.81","R$ 8,131.85",Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Jul-25,7/31/25,8/1/25,8/4/25,9/1/25,"R$ 460,899.42","R$ 381,639.69","R$ 79,259.73",Pago
